topic_number,bow_coherence,tfidf_coherence,bow_coherence_sent,tfidf_coherence_sent
2,0.009731788887301708,-0.9255983751615324,-2.725027221224119,-2.710567794624402
3,0.015393186277526158,-0.9127201594054042,-2.643720712383804,-2.5923687882228297
4,0.010428162510745676,-0.8324258204166437,-2.6104513912604754,-2.30163272739414
5,0.004698045156592005,-0.8083825614432838,-2.7074973971335146,-2.428029460632863
6,0.012170007235959013,-0.9357237666095113,-2.6931757358177086,-2.355275144986645
7,0.014056474829680907,-0.7491197154212238,-2.5774356168353165,-2.406643972202346
8,-0.0026615947885792416,-0.6704434290004572,-2.6189421166494573,-2.2708067402604293
9,0.009608456355413077,-0.7309291003874329,-2.526818098289807,-2.3807779792541917
10,0.0013890466174891398,-0.7163403508025875,-2.597869698762542,-2.226816746325308
11,-0.003566315824554832,-0.5947634899180728,-2.536106124619973,-2.3212048943964287
