Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,2,0.1,0.1,-3.989157945207682
TF-IDF Corpus,2,0.1,0.30000000000000004,-3.989157945207682
TF-IDF Corpus,2,0.1,0.5000000000000001,-3.989157945207682
TF-IDF Corpus,2,0.1,0.7000000000000001,-3.989157945207682
TF-IDF Corpus,2,0.1,0.9000000000000001,-3.989157945207682
TF-IDF Corpus,2,0.2,0.1,-3.935505737241715
TF-IDF Corpus,2,0.2,0.30000000000000004,-3.935505737241715
TF-IDF Corpus,2,0.2,0.5000000000000001,-3.935505737241715
TF-IDF Corpus,2,0.2,0.7000000000000001,-3.935505737241715
TF-IDF Corpus,2,0.2,0.9000000000000001,-3.935505737241715
TF-IDF Corpus,2,0.30000000000000004,0.1,-3.6587665510387586
TF-IDF Corpus,2,0.30000000000000004,0.30000000000000004,-3.6587665510387586
TF-IDF Corpus,2,0.30000000000000004,0.5000000000000001,-3.6587665510387586
TF-IDF Corpus,2,0.30000000000000004,0.7000000000000001,-3.6587665510387586
TF-IDF Corpus,2,0.30000000000000004,0.9000000000000001,-3.6587665510387586
TF-IDF Corpus,2,0.4,0.1,-3.9323412810569622
TF-IDF Corpus,2,0.4,0.30000000000000004,-3.9323412810569622
TF-IDF Corpus,2,0.4,0.5000000000000001,-3.9323412810569622
TF-IDF Corpus,2,0.4,0.7000000000000001,-3.9323412810569622
TF-IDF Corpus,2,0.4,0.9000000000000001,-3.9323412810569622
TF-IDF Corpus,2,0.5,0.1,-3.922620540713747
TF-IDF Corpus,2,0.5,0.30000000000000004,-3.922620540713747
TF-IDF Corpus,2,0.5,0.5000000000000001,-3.922620540713747
TF-IDF Corpus,2,0.5,0.7000000000000001,-3.922620540713747
TF-IDF Corpus,2,0.5,0.9000000000000001,-3.922620540713747
TF-IDF Corpus,2,0.6,0.1,-3.4180808610985594
TF-IDF Corpus,2,0.6,0.30000000000000004,-3.4180808610985594
TF-IDF Corpus,2,0.6,0.5000000000000001,-3.4180808610985594
TF-IDF Corpus,2,0.6,0.7000000000000001,-3.4180808610985594
TF-IDF Corpus,2,0.6,0.9000000000000001,-3.4180808610985594
TF-IDF Corpus,2,0.7000000000000001,0.1,-3.3960087233815486
TF-IDF Corpus,2,0.7000000000000001,0.30000000000000004,-3.3960087233815486
TF-IDF Corpus,2,0.7000000000000001,0.5000000000000001,-3.3960087233815486
TF-IDF Corpus,2,0.7000000000000001,0.7000000000000001,-3.3960087233815486
TF-IDF Corpus,2,0.7000000000000001,0.9000000000000001,-3.3960087233815486
TF-IDF Corpus,2,0.8,0.1,-3.3869623028978535
TF-IDF Corpus,2,0.8,0.30000000000000004,-3.3869623028978535
TF-IDF Corpus,2,0.8,0.5000000000000001,-3.3869623028978535
TF-IDF Corpus,2,0.8,0.7000000000000001,-3.3869623028978535
TF-IDF Corpus,2,0.8,0.9000000000000001,-3.3869623028978535
TF-IDF Corpus,2,0.9,0.1,-3.3772426949192904
TF-IDF Corpus,2,0.9,0.30000000000000004,-3.3772426949192904
TF-IDF Corpus,2,0.9,0.5000000000000001,-3.3772426949192904
TF-IDF Corpus,2,0.9,0.7000000000000001,-3.3772426949192904
TF-IDF Corpus,2,0.9,0.9000000000000001,-3.3772426949192904
TF-IDF Corpus,3,0.1,0.1,-4.642900520379307
TF-IDF Corpus,3,0.1,0.30000000000000004,-4.642900520379307
TF-IDF Corpus,3,0.1,0.5000000000000001,-4.642900520379307
TF-IDF Corpus,3,0.1,0.7000000000000001,-4.642900520379307
TF-IDF Corpus,3,0.1,0.9000000000000001,-4.642900520379307
TF-IDF Corpus,3,0.2,0.1,-4.156138797178511
TF-IDF Corpus,3,0.2,0.30000000000000004,-4.156138797178511
TF-IDF Corpus,3,0.2,0.5000000000000001,-4.156138797178511
TF-IDF Corpus,3,0.2,0.7000000000000001,-4.156138797178511
TF-IDF Corpus,3,0.2,0.9000000000000001,-4.156138797178511
TF-IDF Corpus,3,0.30000000000000004,0.1,-3.6189672526751484
TF-IDF Corpus,3,0.30000000000000004,0.30000000000000004,-3.6189672526751484
TF-IDF Corpus,3,0.30000000000000004,0.5000000000000001,-3.6189672526751484
TF-IDF Corpus,3,0.30000000000000004,0.7000000000000001,-3.6189672526751484
TF-IDF Corpus,3,0.30000000000000004,0.9000000000000001,-3.6189672526751484
TF-IDF Corpus,3,0.4,0.1,-3.518751468559488
TF-IDF Corpus,3,0.4,0.30000000000000004,-3.518751468559488
