Validation_Set,Topics,Alpha,Beta,Coherence
TF-IDF Corpus,2,0.01,0.01,-0.017795163069858705
TF-IDF Corpus,2,0.01,0.21000000000000002,-0.017795163069858705
TF-IDF Corpus,2,0.01,0.41000000000000003,-0.017795163069858705
TF-IDF Corpus,2,0.01,0.6100000000000001,-0.017795163069858705
TF-IDF Corpus,2,0.01,0.81,-0.017795163069858705
TF-IDF Corpus,2,0.21000000000000002,0.01,-0.017795163069858705
TF-IDF Corpus,2,0.21000000000000002,0.21000000000000002,-0.017795163069858705
TF-IDF Corpus,2,0.21000000000000002,0.41000000000000003,-0.017795163069858705
TF-IDF Corpus,2,0.21000000000000002,0.6100000000000001,-0.017795163069858705
TF-IDF Corpus,2,0.21000000000000002,0.81,-0.017795163069858705
TF-IDF Corpus,2,0.41000000000000003,0.01,-0.017795163069858705
TF-IDF Corpus,2,0.41000000000000003,0.21000000000000002,-0.017795163069858705
TF-IDF Corpus,2,0.41000000000000003,0.41000000000000003,-0.017795163069858705
TF-IDF Corpus,2,0.41000000000000003,0.6100000000000001,-0.017795163069858705
TF-IDF Corpus,2,0.41000000000000003,0.81,-0.017795163069858705
TF-IDF Corpus,2,0.6100000000000001,0.01,-0.017795163069858705
TF-IDF Corpus,2,0.6100000000000001,0.21000000000000002,-0.017795163069858705
TF-IDF Corpus,2,0.6100000000000001,0.41000000000000003,-0.017795163069858705
TF-IDF Corpus,2,0.6100000000000001,0.6100000000000001,-0.017795163069858705
TF-IDF Corpus,2,0.6100000000000001,0.81,-0.017795163069858705
TF-IDF Corpus,2,0.81,0.01,-0.017795163069858705
TF-IDF Corpus,2,0.81,0.21000000000000002,-0.017795163069858705
TF-IDF Corpus,2,0.81,0.41000000000000003,-0.017795163069858705
TF-IDF Corpus,2,0.81,0.6100000000000001,-0.017795163069858705
TF-IDF Corpus,2,0.81,0.81,-0.017795163069858705
TF-IDF Corpus,3,0.01,0.01,-0.019717064284686222
TF-IDF Corpus,3,0.01,0.21000000000000002,-0.019717064284686222
TF-IDF Corpus,3,0.01,0.41000000000000003,-0.019717064284686222
TF-IDF Corpus,3,0.01,0.6100000000000001,-0.019717064284686222
TF-IDF Corpus,3,0.01,0.81,-0.019717064284686222
TF-IDF Corpus,3,0.21000000000000002,0.01,-0.019717064284686222
TF-IDF Corpus,3,0.21000000000000002,0.21000000000000002,-0.019717064284686222
TF-IDF Corpus,3,0.21000000000000002,0.41000000000000003,-0.019717064284686222
TF-IDF Corpus,3,0.21000000000000002,0.6100000000000001,-0.019717064284686222
TF-IDF Corpus,3,0.21000000000000002,0.81,-0.019717064284686222
TF-IDF Corpus,3,0.41000000000000003,0.01,-0.019717064284686222
TF-IDF Corpus,3,0.41000000000000003,0.21000000000000002,-0.019717064284686222
TF-IDF Corpus,3,0.41000000000000003,0.41000000000000003,-0.019717064284686222
TF-IDF Corpus,3,0.41000000000000003,0.6100000000000001,-0.019717064284686222
TF-IDF Corpus,3,0.41000000000000003,0.81,-0.019717064284686222
